gameid,tourneyid,tie,winnerid,winnername,winnerscore,winneroldrating,winnernewrating,winnerpos,loserid,losername,loserscore,loseroldrating,losernewrating,loserpos,round,division,date,lexicon,year
451574,1590,0,92,Mark Berg,0,1670,1698,12,620,Steve Sikorski,0,1333,1373,24,2,1,1994-03-11,0,1994
451575,1590,0,92,Mark Berg,0,1670,1698,12,4476,Charlotte Tischler,0,1480,1525,19,3,1,1994-03-11,0,1994
451576,1590,0,92,Mark Berg,0,1670,1698,12,134,Nancy Okolsky,0,1345,1375,33,4,1,1994-03-11,0,1994
451577,1590,0,92,Mark Berg,0,1670,1698,12,59,Marjorie Schoneboom,0,1880,1878,4,5,1,1994-03-11,0,1994
451578,1590,0,92,Mark Berg,0,1670,1698,12,3371,Wendy Littman,0,1664,1639,21,6,1,1994-03-11,0,1994
451579,1590,0,92,Mark Berg,0,1670,1698,12,4476,Charlotte Tischler,0,1480,1525,19,10,1,1994-03-11,0,1994
451580,1590,0,92,Mark Berg,0,1670,1698,12,85,Tom Kelly,0,1639,1620,18,11,1,1994-03-11,0,1994
451581,1590,0,95,Glenn Filzer,0,1238,1247,4,120,Marty Fialkow,0,1063,1120,6,1,2,1994-03-11,0,1994
451582,1590,0,95,Glenn Filzer,0,1238,1247,4,7466,Marguarita Nunez,0,0,969,14,2,2,1994-03-11,0,1994
451583,1590,0,95,Glenn Filzer,0,1238,1247,4,3963,Joan Perico,0,892,893,18,3,2,1994-03-11,0,1994
451584,1590,0,95,Glenn Filzer,0,1238,1247,4,2283,Erna Beckles,0,1274,1240,11,4,2,1994-03-11,0,1994
451585,1590,0,95,Glenn Filzer,0,1238,1247,4,3828,Ilene Heller,0,1222,1245,7,5,2,1994-03-11,0,1994
451586,1590,0,95,Glenn Filzer,0,1238,1247,4,3186,Stacia Camp,0,1082,1051,22,7,2,1994-03-11,0,1994
451587,1590,0,95,Glenn Filzer,0,1238,1247,4,615,Marie Puma,0,1230,1208,10,11,2,1994-03-11,0,1994
451588,1590,0,95,Glenn Filzer,0,1238,1247,4,4484,Vi Ditommaso,0,1107,1131,9,12,2,1994-03-11,0,1994
451589,1590,0,120,Marty Fialkow,0,1063,1120,6,3963,Joan Perico,0,892,893,18,2,2,1994-03-11,0,1994
451590,1590,0,120,Marty Fialkow,0,1063,1120,6,7466,Marguarita Nunez,0,0,969,14,3,2,1994-03-11,0,1994
451591,1590,0,120,Marty Fialkow,0,1063,1120,6,7437,Ed Tischler,0,1094,1087,15,5,2,1994-03-11,0,1994
451592,1590,0,120,Marty Fialkow,0,1063,1120,6,2063,Marjorie Bash,0,1183,1125,13,7,2,1994-03-11,0,1994
451593,1590,0,120,Marty Fialkow,0,1063,1120,6,4479,Donna Lent,0,769,795,23,8,2,1994-03-11,0,1994
451594,1590,0,120,Marty Fialkow,0,1063,1120,6,7438,Sylvia Altman,0,969,937,20,9,2,1994-03-11,0,1994
451595,1590,0,120,Marty Fialkow,0,1063,1120,6,95,Glenn Filzer,0,1238,1247,4,10,2,1994-03-11,0,1994
451596,1590,0,120,Marty Fialkow,0,1063,1120,6,3828,Ilene Heller,0,1222,1245,7,12,2,1994-03-11,0,1994
451597,1590,0,134,Nancy Okolsky,0,1345,1375,33,88,Phil Polsky,0,1680,1569,34,2,1,1994-03-11,0,1994
451598,1590,0,134,Nancy Okolsky,0,1345,1375,33,607,Lynne Mitchnick,0,1494,1547,8,3,1,1994-03-11,0,1994
451599,1590,0,134,Nancy Okolsky,0,1345,1375,33,3371,Wendy Littman,0,1664,1639,21,5,1,1994-03-11,0,1994
451600,1590,0,134,Nancy Okolsky,0,1345,1375,33,206,Hilda Siegel,0,1402,1383,35,11,1,1994-03-11,0,1994
451601,1590,0,206,Hilda Siegel,0,1402,1383,35,620,Steve Sikorski,0,1333,1373,24,5,1,1994-03-11,0,1994
451602,1590,0,206,Hilda Siegel,0,1402,1383,35,82,Sally Ricketts,0,1390,1347,36,9,1,1994-03-11,0,1994
451603,1590,0,206,Hilda Siegel,0,1402,1383,35,82,Sally Ricketts,0,1390,1347,36,12,1,1994-03-11,0,1994
451604,1590,0,242,Verna Richards Berg,0,1827,1827,9,92,Mark Berg,0,1670,1698,12,1,1,1994-03-11,0,1994
451605,1590,0,242,Verna Richards Berg,0,1827,1827,9,620,Steve Sikorski,0,1333,1373,24,3,1,1994-03-11,0,1994
451606,1590,0,242,Verna Richards Berg,0,1827,1827,9,6558,Lee Cooper,0,1449,1464,32,4,1,1994-03-11,0,1994
451607,1590,0,242,Verna Richards Berg,0,1827,1827,9,1391,Cathy Osickey,0,1748,1728,17,6,1,1994-03-11,0,1994
451608,1590,0,242,Verna Richards Berg,0,1827,1827,9,38,Matt Laufer,0,1892,1877,5,7,1,1994-03-11,0,1994
451609,1590,0,242,Verna Richards Berg,0,1827,1827,9,4001,James Guillot,0,1712,1700,22,8,1,1994-03-11,0,1994
451610,1590,0,242,Verna Richards Berg,0,1827,1827,9,5676,Rhoda Squires,0,1642,1591,29,9,1,1994-03-11,0,1994
451611,1590,0,242,Verna Richards Berg,0,1827,1827,9,44,Paul Avrin,0,1803,1810,10,11,1,1994-03-11,0,1994
451612,1590,0,582,Rita Provost,0,1850,1884,1,629,Lois Kahan,0,1370,1411,27,1,1,1994-03-11,0,1994
451613,1590,0,582,Rita Provost,0,1850,1884,1,7461,Micheal Erde,0,1505,1614,16,2,1,1994-03-11,0,1994
451614,1590,0,582,Rita Provost,0,1850,1884,1,85,Tom Kelly,0,1639,1620,18,3,1,1994-03-11,0,1994
451615,1590,0,582,Rita Provost,0,1850,1884,1,1391,Cathy Osickey,0,1748,1728,17,4,1,1994-03-11,0,1994
451616,1590,0,582,Rita Provost,0,1850,1884,1,242,Verna Richards Berg,0,1827,1827,9,5,1,1994-03-11,0,1994
451617,1590,0,582,Rita Provost,0,1850,1884,1,6558,Lee Cooper,0,1449,1464,32,6,1,1994-03-11,0,1994
451618,1590,0,582,Rita Provost,0,1850,1884,1,54,Rose Kreiswirth,0,1842,1844,7,7,1,1994-03-11,0,1994
451619,1590,1,582,Rita Provost,0,1850,1884,1,59,Marjorie Schoneboom,0,1880,1878,4,9,1,1994-03-11,0,1994
451620,1590,0,582,Rita Provost,0,1850,1884,1,59,Marjorie Schoneboom,0,1880,1878,4,11,1,1994-03-11,0,1994
451621,1590,0,582,Rita Provost,0,1850,1884,1,941,Louis Schecter,0,2028,2023,2,12,1,1994-03-11,0,1994
451622,1590,0,607,Lynne Mitchnick,0,1494,1547,8,88,Phil Polsky,0,1680,1569,34,1,1,1994-03-11,0,1994
451623,1590,0,607,Lynne Mitchnick,0,1494,1547,8,206,Hilda Siegel,0,1402,1383,35,4,1,1994-03-11,0,1994
451624,1590,0,607,Lynne Mitchnick,0,1494,1547,8,5676,Rhoda Squires,0,1642,1591,29,5,1,1994-03-11,0,1994
451625,1590,0,607,Lynne Mitchnick,0,1494,1547,8,7431,John D Williams,0,1415,1411,31,7,1,1994-03-11,0,1994
451626,1590,0,607,Lynne Mitchnick,0,1494,1547,8,4435,Jerry Mory,0,1340,1357,30,9,1,1994-03-11,0,1994
451627,1590,0,607,Lynne Mitchnick,0,1494,1547,8,10779,John E Meyers,0,1717,1675,28,10,1,1994-03-11,0,1994
451628,1590,0,607,Lynne Mitchnick,0,1494,1547,8,1391,Cathy Osickey,0,1748,1728,17,11,1,1994-03-11,0,1994
451629,1590,0,607,Lynne Mitchnick,0,1494,1547,8,608,Pam Grazette,0,1712,1692,14,12,1,1994-03-11,0,1994
451630,1590,0,608,Pam Grazette,0,1712,1692,14,82,Sally Ricketts,0,1390,1347,36,2,1,1994-03-11,0,1994
451631,1590,0,608,Pam Grazette,0,1712,1692,14,7431,John D Williams,0,1415,1411,31,5,1,1994-03-11,0,1994
451632,1590,0,608,Pam Grazette,0,1712,1692,14,58,Sal Piro,0,1592,1566,23,6,1,1994-03-11,0,1994
451633,1590,0,608,Pam Grazette,0,1712,1692,14,7461,Micheal Erde,0,1505,1614,16,7,1,1994-03-11,0,1994
451634,1590,0,608,Pam Grazette,0,1712,1692,14,1391,Cathy Osickey,0,1748,1728,17,8,1,1994-03-11,0,1994
451635,1590,0,608,Pam Grazette,0,1712,1692,14,676,Siri Tillekeratne,0,1754,1724,11,9,1,1994-03-11,0,1994
451636,1590,0,608,Pam Grazette,0,1712,1692,14,4241,Ed Ugarte,0,1435,1489,20,11,1,1994-03-11,0,1994
451637,1590,0,615,Marie Puma,0,1230,1208,10,7471,Fred Fisher,0,0,616,26,1,2,1994-03-11,0,1994
451638,1590,0,615,Marie Puma,0,1230,1208,10,6382,Walt Bellcourt,0,0,1004,17,2,2,1994-03-11,0,1994
451639,1590,0,615,Marie Puma,0,1230,1208,10,7470,Eva Fisher,0,0,623,25,3,2,1994-03-11,0,1994
451640,1590,0,615,Marie Puma,0,1230,1208,10,7437,Ed Tischler,0,1094,1087,15,4,2,1994-03-11,0,1994
451641,1590,0,615,Marie Puma,0,1230,1208,10,120,Marty Fialkow,0,1063,1120,6,6,2,1994-03-11,0,1994
451642,1590,0,615,Marie Puma,0,1230,1208,10,6382,Walt Bellcourt,0,0,1004,17,8,2,1994-03-11,0,1994
451643,1590,0,615,Marie Puma,0,1230,1208,10,5853,Ruby Turner,0,945,958,12,12,2,1994-03-11,0,1994
451644,1590,0,620,Steve Sikorski,0,1333,1373,24,607,Lynne Mitchnick,0,1494,1547,8,6,1,1994-03-11,0,1994
451645,1590,0,620,Steve Sikorski,0,1333,1373,24,4435,Jerry Mory,0,1340,1357,30,7,1,1994-03-11,0,1994
451646,1590,0,620,Steve Sikorski,0,1333,1373,24,607,Lynne Mitchnick,0,1494,1547,8,8,1,1994-03-11,0,1994
451647,1590,0,620,Steve Sikorski,0,1333,1373,24,58,Sal Piro,0,1592,1566,23,10,1,1994-03-11,0,1994
451648,1590,0,620,Steve Sikorski,0,1333,1373,24,5676,Rhoda Squires,0,1642,1591,29,12,1,1994-03-11,0,1994
451649,1590,0,629,Lois Kahan,0,1370,1411,27,608,Pam Grazette,0,1712,1692,14,4,1,1994-03-11,0,1994
451650,1590,0,629,Lois Kahan,0,1370,1411,27,58,Sal Piro,0,1592,1566,23,5,1,1994-03-11,0,1994
451651,1590,0,629,Lois Kahan,0,1370,1411,27,7431,John D Williams,0,1415,1411,31,6,1,1994-03-11,0,1994
451652,1590,0,629,Lois Kahan,0,1370,1411,27,6558,Lee Cooper,0,1449,1464,32,11,1,1994-03-11,0,1994
451653,1590,0,629,Lois Kahan,0,1370,1411,27,7431,John D Williams,0,1415,1411,31,12,1,1994-03-11,0,1994
451654,1590,0,661,Dorothy Siegel,0,1120,1079,16,7438,Sylvia Altman,0,969,937,20,3,2,1994-03-11,0,1994
451655,1590,0,661,Dorothy Siegel,0,1120,1079,16,4479,Donna Lent,0,769,795,23,4,2,1994-03-11,0,1994
451656,1590,0,661,Dorothy Siegel,0,1120,1079,16,7469,Ben Nunez,0,0,703,24,7,2,1994-03-11,0,1994
451657,1590,0,661,Dorothy Siegel,0,1120,1079,16,7470,Eva Fisher,0,0,623,25,8,2,1994-03-11,0,1994
451658,1590,0,661,Dorothy Siegel,0,1120,1079,16,7439,Herb Greenberg,0,866,860,21,11,2,1994-03-11,0,1994
451659,1590,0,661,Dorothy Siegel,0,1120,1079,16,3186,Stacia Camp,0,1082,1051,22,12,2,1994-03-11,0,1994
451660,1590,0,676,Siri Tillekeratne,0,1754,1724,11,4241,Ed Ugarte,0,1435,1489,20,1,1,1994-03-11,0,1994
451661,1590,0,676,Siri Tillekeratne,0,1754,1724,11,85,Tom Kelly,0,1639,1620,18,4,1,1994-03-11,0,1994
451662,1590,0,676,Siri Tillekeratne,0,1754,1724,11,2162,Arline Silverman,0,1550,1534,26,5,1,1994-03-11,0,1994
451663,1590,0,676,Siri Tillekeratne,0,1754,1724,11,82,Sally Ricketts,0,1390,1347,36,6,1,1994-03-11,0,1994
451664,1590,0,676,Siri Tillekeratne,0,1754,1724,11,3371,Wendy Littman,0,1664,1639,21,10,1,1994-03-11,0,1994
451665,1590,0,676,Siri Tillekeratne,0,1754,1724,11,4476,Charlotte Tischler,0,1480,1525,19,11,1,1994-03-11,0,1994
451666,1590,0,676,Siri Tillekeratne,0,1754,1724,11,7461,Micheal Erde,0,1505,1614,16,12,1,1994-03-11,0,1994
451667,1590,0,941,Louis Schecter,0,2028,2023,2,1391,Cathy Osickey,0,1748,1728,17,1,1,1994-03-11,0,1994
451668,1590,0,941,Louis Schecter,0,2028,2023,2,5676,Rhoda Squires,0,1642,1591,29,2,1,1994-03-11,0,1994
451669,1590,0,941,Louis Schecter,0,2028,2023,2,10779,John E Meyers,0,1717,1675,28,4,1,1994-03-11,0,1994
451670,1590,0,941,Louis Schecter,0,2028,2023,2,2931,Josh Silber,0,1633,1753,6,6,1,1994-03-11,0,1994
451671,1590,0,941,Louis Schecter,0,2028,2023,2,92,Mark Berg,0,1670,1698,12,7,1,1994-03-11,0,1994
451672,1590,0,941,Louis Schecter,0,2028,2023,2,44,Paul Avrin,0,1803,1810,10,8,1,1994-03-11,0,1994
451673,1590,0,941,Louis Schecter,0,2028,2023,2,47,Joe Weinike,0,1954,1961,3,9,1,1994-03-11,0,1994
451674,1590,0,941,Louis Schecter,0,2028,2023,2,54,Rose Kreiswirth,0,1842,1844,7,10,1,1994-03-11,0,1994
451675,1590,0,941,Louis Schecter,0,2028,2023,2,47,Joe Weinike,0,1954,1961,3,11,1,1994-03-11,0,1994
451676,1590,0,1112,Mary Capalbi,0,1639,1641,13,206,Hilda Siegel,0,1402,1383,35,1,1,1994-03-11,0,1994
451677,1590,0,1112,Mary Capalbi,0,1639,1641,13,4435,Jerry Mory,0,1340,1357,30,5,1,1994-03-11,0,1994
451678,1590,0,1112,Mary Capalbi,0,1639,1641,13,88,Phil Polsky,0,1680,1569,34,6,1,1994-03-11,0,1994
451679,1590,0,1112,Mary Capalbi,0,1639,1641,13,134,Nancy Okolsky,0,1345,1375,33,7,1,1994-03-11,0,1994
451680,1590,0,1112,Mary Capalbi,0,1639,1641,13,2472,Annette Tedesco,0,1639,1674,15,8,1,1994-03-11,0,1994
451681,1590,0,1112,Mary Capalbi,0,1639,1641,13,7002,Mike Martin,0,1662,1603,25,11,1,1994-03-11,0,1994
451682,1590,0,1112,Mary Capalbi,0,1639,1641,13,85,Tom Kelly,0,1639,1620,18,12,1,1994-03-11,0,1994
451683,1590,0,1391,Cathy Osickey,0,1748,1728,17,7431,John D Williams,0,1415,1411,31,2,1,1994-03-11,0,1994
451684,1590,0,1391,Cathy Osickey,0,1748,1728,17,5676,Rhoda Squires,0,1642,1591,29,3,1,1994-03-11,0,1994
451685,1590,0,1391,Cathy Osickey,0,1748,1728,17,6558,Lee Cooper,0,1449,1464,32,5,1,1994-03-11,0,1994
451686,1590,0,1391,Cathy Osickey,0,1748,1728,17,676,Siri Tillekeratne,0,1754,1724,11,7,1,1994-03-11,0,1994
451687,1590,0,1391,Cathy Osickey,0,1748,1728,17,4001,James Guillot,0,1712,1700,22,10,1,1994-03-11,0,1994
451688,1590,0,1391,Cathy Osickey,0,1748,1728,17,4001,James Guillot,0,1712,1700,22,12,1,1994-03-11,0,1994
451689,1590,0,2063,Marjorie Bash,0,1183,1125,13,4479,Donna Lent,0,769,795,23,2,2,1994-03-11,0,1994
451690,1590,0,2063,Marjorie Bash,0,1183,1125,13,7471,Fred Fisher,0,0,616,26,5,2,1994-03-11,0,1994
451691,1590,0,2063,Marjorie Bash,0,1183,1125,13,7468,Ralph Jackson,0,822,855,19,6,2,1994-03-11,0,1994
451692,1590,0,2063,Marjorie Bash,0,1183,1125,13,7438,Sylvia Altman,0,969,937,20,8,2,1994-03-11,0,1994
451693,1590,0,2063,Marjorie Bash,0,1183,1125,13,4479,Donna Lent,0,769,795,23,9,2,1994-03-11,0,1994
451694,1590,0,2063,Marjorie Bash,0,1183,1125,13,7466,Marguarita Nunez,0,0,969,14,12,2,1994-03-11,0,1994
451695,1590,0,2162,Arline Silverman,0,1550,1534,26,82,Sally Ricketts,0,1390,1347,36,4,1,1994-03-11,0,1994
451696,1590,0,2162,Arline Silverman,0,1550,1534,26,58,Sal Piro,0,1592,1566,23,8,1,1994-03-11,0,1994
451697,1590,0,2162,Arline Silverman,0,1550,1534,26,6558,Lee Cooper,0,1449,1464,32,9,1,1994-03-11,0,1994
451698,1590,0,2162,Arline Silverman,0,1550,1534,26,134,Nancy Okolsky,0,1345,1375,33,10,1,1994-03-11,0,1994
451699,1590,0,2162,Arline Silverman,0,1550,1534,26,620,Steve Sikorski,0,1333,1373,24,11,1,1994-03-11,0,1994
451700,1590,0,2283,Erna Beckles,0,1274,1240,11,661,Dorothy Siegel,0,1120,1079,16,1,2,1994-03-11,0,1994
451701,1590,0,2283,Erna Beckles,0,1274,1240,11,7438,Sylvia Altman,0,969,937,20,2,2,1994-03-11,0,1994
451702,1590,0,2283,Erna Beckles,0,1274,1240,11,4484,Vi Ditommaso,0,1107,1131,9,5,2,1994-03-11,0,1994
451703,1590,0,2283,Erna Beckles,0,1274,1240,11,3828,Ilene Heller,0,1222,1245,7,6,2,1994-03-11,0,1994
451704,1590,0,2283,Erna Beckles,0,1274,1240,11,95,Glenn Filzer,0,1238,1247,4,8,2,1994-03-11,0,1994
451705,1590,0,2283,Erna Beckles,0,1274,1240,11,5853,Ruby Turner,0,945,958,12,10,2,1994-03-11,0,1994
451706,1590,0,2472,Annette Tedesco,0,1639,1674,15,676,Siri Tillekeratne,0,1754,1724,11,2,1,1994-03-11,0,1994
451707,1590,0,2472,Annette Tedesco,0,1639,1674,15,4241,Ed Ugarte,0,1435,1489,20,3,1,1994-03-11,0,1994
451708,1590,0,2472,Annette Tedesco,0,1639,1674,15,38,Matt Laufer,0,1892,1877,5,4,1,1994-03-11,0,1994
451709,1590,0,2472,Annette Tedesco,0,1639,1674,15,4476,Charlotte Tischler,0,1480,1525,19,7,1,1994-03-11,0,1994
451710,1590,0,2472,Annette Tedesco,0,1639,1674,15,134,Nancy Okolsky,0,1345,1375,33,9,1,1994-03-11,0,1994
451711,1590,0,2472,Annette Tedesco,0,1639,1674,15,10779,John E Meyers,0,1717,1675,28,11,1,1994-03-11,0,1994
451712,1590,0,2472,Annette Tedesco,0,1639,1674,15,4241,Ed Ugarte,0,1435,1489,20,12,1,1994-03-11,0,1994
451713,1590,0,2931,Josh Silber,0,1633,1753,6,82,Sally Ricketts,0,1390,1347,36,1,1,1994-03-11,0,1994
451714,1590,0,2931,Josh Silber,0,1633,1753,6,38,Matt Laufer,0,1892,1877,5,2,1,1994-03-11,0,1994
451715,1590,0,2931,Josh Silber,0,1633,1753,6,608,Pam Grazette,0,1712,1692,14,3,1,1994-03-11,0,1994
451716,1590,0,2931,Josh Silber,0,1633,1753,6,10779,John E Meyers,0,1717,1675,28,5,1,1994-03-11,0,1994
451717,1590,0,2931,Josh Silber,0,1633,1753,6,59,Marjorie Schoneboom,0,1880,1878,4,7,1,1994-03-11,0,1994
451718,1590,0,2931,Josh Silber,0,1633,1753,6,582,Rita Provost,0,1850,1884,1,8,1,1994-03-11,0,1994
451719,1590,0,2931,Josh Silber,0,1633,1753,6,242,Verna Richards Berg,0,1827,1827,9,10,1,1994-03-11,0,1994
451720,1590,0,2931,Josh Silber,0,1633,1753,6,44,Paul Avrin,0,1803,1810,10,12,1,1994-03-11,0,1994
451721,1590,0,3186,Stacia Camp,0,1082,1051,22,7468,Ralph Jackson,0,822,855,19,1,2,1994-03-11,0,1994
451722,1590,0,3186,Stacia Camp,0,1082,1051,22,7466,Marguarita Nunez,0,0,969,14,4,2,1994-03-11,0,1994
451723,1590,0,3186,Stacia Camp,0,1082,1051,22,661,Dorothy Siegel,0,1120,1079,16,5,2,1994-03-11,0,1994
451724,1590,0,3186,Stacia Camp,0,1082,1051,22,2283,Erna Beckles,0,1274,1240,11,9,2,1994-03-11,0,1994
451725,1590,0,3371,Wendy Littman,0,1664,1639,21,44,Paul Avrin,0,1803,1810,10,1,1,1994-03-11,0,1994
451726,1590,0,3371,Wendy Littman,0,1664,1639,21,2162,Arline Silverman,0,1550,1534,26,3,1,1994-03-11,0,1994
451727,1590,0,3371,Wendy Littman,0,1664,1639,21,82,Sally Ricketts,0,1390,1347,36,7,1,1994-03-11,0,1994
451728,1590,0,3371,Wendy Littman,0,1664,1639,21,206,Hilda Siegel,0,1402,1383,35,8,1,1994-03-11,0,1994
